grid_m,normalized_grid,T_K,X_NH2,baseline,baseline_plus_OH
0.0043125,0.43125,1819.8446048554829,0.0007331277204909747,0.0005315822212086497,0.0007240156088762719
0.004328125,0.4328125,1829.7208566439836,0.0007210771643825787,0.0005075380855987531,0.0007122294417594857
0.00434375,0.434375,1839.3842568785587,0.0007086939771968957,0.0004837992320879865,0.0007001811492372293
0.004359375,0.4359375,1848.8273302213306,0.0006958632780409558,0.00046042929871178165,0.0006877851601494125
0.004375,0.4375000000000001,1858.0416185606878,0.0006824608280362434,0.0004374936295024584,0.0006749223323907282
0.004390625,0.4390625,1867.0176460220919,0.0006683532137092566,0.00041505945202965363,0.0006614540322837577
0.00440625,0.440625,1875.74398098994,0.0006534000318526098,0.0003931951423908293,0.000647228309069707
0.0044218750000000005,0.4421875,1884.2090840361905,0.0006374576531392612,0.0003719710148284573,0.0006320836827890091
0.0044375000000000005,0.44375,1892.4004057461484,0.0006203841837314321,0.0003514583721865185,0.0006158553677397278
0.0044531250000000005,0.4453125000000001,1900.3044404546947,0.0006020456707467468,0.00033172856290881195,0.0005983813825025625
0.0044687500000000005,0.446875,1907.9068159966644,0.0005823234156446178,0.00031285160231280066,0.0005795096508249205
0.0044843750000000005,0.4484375,1915.1924287886466,0.0005611223448562028,0.00029489429536563963,0.0005591053848959358
0.0044921875000000005,0.4492187500000001,1918.7106000333044,0.0005499322916920987,0.00028626944617623845,0.0005483132856499976
0.0045000000000000005,0.4500000000000001,1922.143726042992,0.000538351293443966,0.00027789774442000295,0.0005370986049126949
0.0045078125000000005,0.45078125,1925.4897899629086,0.0005263769572003154,0.0002697855042398036,0.0005254575565843651
0.0045156250000000005,0.4515625,1928.7467728626675,0.0005140101316940953,0.00026193828950632817,0.0005133884753190446
0.0045234375000000005,0.45234375,1931.9126629479529,0.0005012550529625631,0.0002543607978535265,0.0005008925901763706
0.0045312500000000006,0.4531250000000001,1934.9854659372888,0.00048811949572625195,0.000247056740162044,0.00048797454907157354
0.0045390625000000006,0.4539062500000001,1937.9632164000159,0.00047461491235333583,0.00024002871673798077,0.0004746427933713253
0.004546875000000001,0.4546875,1940.8439899036994,0.00046075654635126484,0.00023327809110174479,0.00046090983163068436
0.004554687500000001,0.45546875,1943.6259158386115,0.00044656351032546936,0.00022680486159175385,0.0004467924354663496
0.004562500000000001,0.45625,1946.307190788261,0.00043205882027904784,0.00022060752975240709,0.000432311767304795
0.004570312500000001,0.4570312500000001,1948.8860923061316,0.00041726937955855874,0.00021468296254318483,0.0004174934431849879
0.004578125000000001,0.4578125000000001,1951.3609929447384,0.000402225906990932,0.00020902624258094824,0.0004023675307562541
0.004585937500000001,0.4585937500000001,1953.7303743666928,0.00038696280497584295,0.00020363049668752919,0.0003869684813909185
0.004593750000000001,0.459375,1955.9928413505613,0.0003715179645876497,0.0001984866877081331,0.00037133499500351536
0.004601562500000001,0.46015625,1958.1471354884384,0.00035593250614344686,0.00019358334761548836,0.000355509816223917
0.004609375000000001,0.4609375000000001,1960.192148358257,0.00034025045522080203,0.00018890622104511423,0.00033953946074525995
0.004617187500000001,0.4617187500000001,1962.126933942984,0.0003245183557499764,0.00018443777743862194,0.0003234738708482973
0.004625000000000001,0.4625000000000001,1963.9507200616897,0.0003087848235352998,0.0001801565370747531,0.0003073659993006812
0.004632812500000001,0.46328125,1965.6629185748197,0.0002931000453395536,0.0001760361425768655,0.00029127132114560583
0.004640625000000001,0.4640625,1967.2631341283509,0.0002775152304444845,0.0001720440964671951,0.0002752472735046804
0.004648437500000001,0.4648437500000001,1968.751171209542,0.0002620820233216282,0.00016814008562893954,0.00025935262464409314
0.004656250000000001,0.4656250000000001,1970.1270393009313,0.0002468518876459523,0.0001642738443695807,0.0002436467754107392
0.004664062500000001,0.4664062500000001,1971.3909559395272,0.00023187547329232865,0.0001603826081141369,0.00022818899890157982
0.004671875000000001,0.4671875,1972.5433475148086,0.00021720197910176376,0.0001563884499019174,0.0002130376279365103
0.004679687500000001,0.46796875,1973.5848476721922,0.0002028785250240933,0.00015219627620948018,0.0001982492044447319
0.004687500000000001,0.4687500000000001,1974.5162932277701,0.00018894954767587882,0.00014769407987614148,0.0001838776099232359
0.004695312500000001,0.4695312500000001,1975.3387175448913,0.0001754562333465208,0.0001427581050895413,0.00016997320115492374
0.004703125000000001,0.4703125000000001,1976.0533413727294,0.00016243600200723795,0.0001372661802887532,0.000156581979694734
0.004710937500000001,0.4710937500000001,1976.661561200428,0.00014992205490997764,0.00013112098478150009,0.00014374482649278183
0.004718750000000001,0.471875,1977.164935236256,0.00013794299691298603,0.00012427970623736723,0.0001314968337395836
0.004726562500000001,0.4726562500000001,1977.5651671779533,0.00012652254276703748,0.00011677883073459004,0.00011986676411773342
0.004734375000000001,0.4734375000000001,1977.8640879961654,0.00011567931429788015,0.00010873974292311633,0.00010887666298744728
0.004742187500000001,0.4742187500000001,1978.0636360055246,0.00010542673280720412,0.000100349101808839,9.854164187748574e-05
0.004750000000000001,0.4750000000000001,1978.1658355454085,9.577300818954311e-05,9.182269805615981e-05,8.88698426356659e-05
0.004757812500000001,0.47578125,1978.172774632558,8.672122334602257e-05,8.33691718612022e-05,7.986258163617099e-05
0.004765625000000001,0.4765625000000001,1978.086581978536,7.826950959817694e-05,7.516540359806074e-05,7.151466359300809e-05
0.004773437500000001,0.4773437500000001,1977.909403784861,7.041130609889885e-05,6.734601138312181e-05,6.381484578933882e-05
