row_index,grid_m,normalized_grid,T_K,X_NH2_qssa,Y_NH2_qssa,solver_success,solver_message
111,0.0035625,0.35625,1125.084142072096,0.00030665089689714184,0.00022415588222072377,True,The solver successfully reached the end of the integration interval.
112,0.0035703125,0.35703125,1134.1488223635695,0.00032335760229833835,0.00023623382771007764,True,The solver successfully reached the end of the integration interval.
113,0.003578125,0.3578125,1143.201381040705,0.0003404520053618151,0.0002485816848224438,True,The solver successfully reached the end of the integration interval.
114,0.0035859375,0.35859375,1152.2404100686904,0.0003579014964449323,0.00026117525783870806,True,The solver successfully reached the end of the integration interval.
115,0.00359375,0.35937499999999994,1161.2645060532984,0.00037567162232742213,0.0002739890547227726,True,The solver successfully reached the end of the integration interval.
116,0.0036015625,0.36015625,1170.2722710722862,0.00039372631600879124,0.0002869964567620853,True,The solver successfully reached the end of the integration interval.
117,0.003609375,0.3609375,1179.262313647418,0.0004120281224416289,0.0003001698847621662,True,The solver successfully reached the end of the integration interval.
118,0.0036171875,0.36171875,1188.2332498583455,0.00043053841776178524,0.0003134809600695301,True,The solver successfully reached the end of the integration interval.
119,0.003625,0.3625,1197.1837045977502,0.00044921762034829077,0.00032690065926363146,True,The solver successfully reached the end of the integration interval.
120,0.0036328125,0.36328125,1206.1123129653108,0.0004680253926824958,0.00034039946180860694,True,The solver successfully reached the end of the integration interval.
121,0.003640625,0.3640625,1215.0177217961302,0.00048692083388833724,0.00035394749065840807,True,The solver successfully reached the end of the integration interval.
122,0.0036484375,0.36484375,1223.898591317269,0.0005058626631264509,0.0003675146459695032,True,The solver successfully reached the end of the integration interval.
123,0.00365625,0.365625,1232.753596923895,0.0005248093946496926,0.00038107073255884665,True,The solver successfully reached the end of the integration interval.
124,0.0036640625,0.36640625,1241.5814310642968,0.000543719505598529,0.00039458558192065194,True,The solver successfully reached the end of the integration interval.
125,0.003671875,0.3671875,1250.3808052205761,0.0005625515978314498,0.00040802916976205074,True,The solver successfully reached the end of the integration interval.
126,0.0036796875,0.36796875,1259.1504519692635,0.0005812645551866529,0.00042137173007927023,True,The solver successfully reached the end of the integration interval.
127,0.0036875,0.36875,1267.88912710342,0.0005998176975566961,0.00043458386677258214,True,The solver successfully reached the end of the integration interval.
128,0.0036953125,0.36953125,1276.5956117950916,0.0006181709330524452,0.00044763666371044544,True,The solver successfully reached the end of the integration interval.
129,0.003703125,0.3703125,1285.268714774404,0.000636284909361673,0.00046050179402198785,True,The solver successfully reached the end of the integration interval.
130,0.0037109375,0.37109375,1293.9072744992518,0.0006541211651281266,0.0004731516291845462,True,The solver successfully reached the end of the integration interval.
131,0.00371875,0.371875,1302.5101612877072,0.0006716422818980363,0.00048555934827227695,True,The solver successfully reached the end of the integration interval.
132,0.0037265625,0.37265625,1311.0762793840581,0.000688812036786941,0.0004976990474427357,True,The solver successfully reached the end of the integration interval.
133,0.003734375,0.3734375,1319.6045689290768,0.0007055955556220041,0.000509545849455146,True,The solver successfully reached the end of the integration interval.
134,0.0037421875,0.37421875,1328.0940078057838,0.0007219594658611678,0.0005210760126899883,True,The solver successfully reached the end of the integration interval.
135,0.00375,0.375,1336.5436133337496,0.0007378720481322665,0.0005322670388159921,True,The solver successfully reached the end of the integration interval.
136,0.0037578125,0.37578125,1344.9524437878395,0.0007533033847672933,0.0005430977779196142,True,The solver successfully reached the end of the integration interval.
137,0.003765625,0.3765625,1353.3195997211901,0.0007682255032894003,0.0005535485296201032,True,The solver successfully reached the end of the integration interval.
138,0.0037734375,0.37734375,1361.6442250769,0.0007826125124502228,0.0005636011384421267,True,The solver successfully reached the end of the integration interval.
139,0.00378125,0.378125,1369.9255080781786,0.000796440728162461,0.0005732390815449085,True,The solver successfully reached the end of the integration interval.
140,0.0037890625,0.37890625,1378.1626818921775,0.00080968878655103,0.0005824475468280491,True,The solver successfully reached the end of the integration interval.
141,0.003796875,0.3796875,1386.3550250681292,0.0008223377413784624,0.0005912134994661219,True,The solver successfully reached the end of the integration interval.
142,0.0038046875,0.38046875,1394.5018617553794,0.0008343711433038849,0.0005995257350787956,True,The solver successfully reached the end of the integration interval.
143,0.0038125,0.38125,1402.6025617111727,0.0008457750988149195,0.0006073749180241216,True,The solver successfully reached the end of the integration interval.
144,0.0038203125,0.38203125,1410.656540111425,0.000856538307243408,0.0006147536037199075,True,The solver successfully reached the end of the integration interval.
145,0.003828125,0.3828125,1418.663257180095,0.000866652075073964,0.0006216562444765748,True,The solver successfully reached the end of the integration interval.
146,0.0038359375,0.38359375,1426.6222176541007,0.0008761103078920924,0.0006280791791444688,True,The solver successfully reached the end of the integration interval.
147,0.00384375,0.384375,1434.5329701010662,0.0008849094820839268,0.0006340206081443535,True,The solver successfully reached the end of the integration interval.
148,0.0038515625,0.38515625,1442.3951061065345,0.0008930486014933418,0.0006394805576606782,True,The solver successfully reached the end of the integration interval.
149,0.003859375,0.3859375,1450.2082593456867,0.0009005291502909652,0.0006444608410917388,True,The solver successfully reached the end of the integration interval.
150,0.0038671875,0.38671875,1457.9721045518515,0.0009073550660019671,0.0006489650348946345,True,The solver successfully reached the end of the integration interval.
151,0.003875,0.3875,1465.6863563895668,0.0009135327842755932,0.0006529985056414015,True,The solver successfully reached the end of the integration interval.
152,0.0038828125,0.38828125,1473.350768232377,0.0009190714680913728,0.0006565685685929436,True,The solver successfully reached the end of the integration interval.
153,0.003890625,0.3890625,1480.9651308321056,0.0009239836698791856,0.000659684954672152,True,The solver successfully reached the end of the integration interval.
154,0.00390625,0.390625,1496.0437591702055,0.0009319569100977634,0.000664582023262828,True,The solver successfully reached the end of the integration interval.
155,0.003921875,0.3921875,1510.920915220813,0.0009375790152906647,0.0006677839116455731,True,The solver successfully reached the end of the integration interval.
156,0.0039375,0.39375,1525.5961559434686,0.0009409735154954052,0.0006693844890678947,True,The solver successfully reached the end of the integration interval.
157,0.003953125,0.3953125,1540.0695018916479,0.0009422855003312148,0.0006694926684696401,True,The solver successfully reached the end of the integration interval.
158,0.00396875,0.396875,1554.3413889910962,0.0009416721887994851,0.0006682256028209173,True,The solver successfully reached the end of the integration interval.
159,0.003984375,0.3984375,1568.4126175486654,0.0009392977183734163,0.0006657049185275393,True,The solver successfully reached the end of the integration interval.
160,0.004,0.4,1582.284298827937,0.0009353292477428292,0.0006620539050907541,True,The solver successfully reached the end of the integration interval.
161,0.004015625,0.4015625,1595.9577994487295,0.0009299337942368173,0.0006573952447659853,True,The solver successfully reached the end of the integration interval.
162,0.00403125,0.403125,1609.4346839392724,0.0009232756564125869,0.0006518491729603874,True,The solver successfully reached the end of the integration interval.
163,0.004046875,0.4046875,1622.7166558568485,0.0009155143402314282,0.0006455320088295977,True,The solver successfully reached the end of the integration interval.
164,0.0040625,0.40625,1635.8054979513238,0.0009068029127624142,0.0006385549998009144,True,The solver successfully reached the end of the integration interval.
165,0.004078125,0.4078125,1648.7030118601378,0.0008972867103676856,0.0006310234262503816,True,The solver successfully reached the end of the integration interval.
166,0.00409375,0.409375,1661.4109577893869,0.000887102347114925,0.0006230359261601255,True,The solver successfully reached the end of the integration interval.
167,0.004109375,0.4109375,1673.9309945493906,0.0008763770354836523,0.0006146840464135362,True,The solver successfully reached the end of the integration interval.
168,0.004125,0.4125,1686.2646201409652,0.0008652284577127855,0.0006060521858076717,True,The solver successfully reached the end of the integration interval.
169,0.004140625,0.4140625,1698.413112673195,0.0008537662155298516,0.000597218645580042,True,The solver successfully reached the end of the integration interval.
170,0.00415625,0.415625,1710.3774701137534,0.0008420986542402397,0.0005882604306744148,True,The solver successfully reached the end of the integration interval.
171,0.0041875,0.41875,1733.7579034962039,0.0008183392142263025,0.0005701126055058314,True,The solver successfully reached the end of the integration interval.
172,0.00421875,0.421875,1756.406909708806,0.0007945269574002426,0.0005520103487607992,True,The solver successfully reached the end of the integration interval.
173,0.00425,0.425,1778.3173640019534,0.0007709045358123317,0.0005341246967466922,True,The solver successfully reached the end of the integration interval.
174,0.00428125,0.428125,1799.4725706897495,0.0007474927581837773,0.0005164711755097495,True,The solver successfully reached the end of the integration interval.
175,0.0043125,0.43125,1819.8446048554829,0.000724015608876272,0.0004988602331290694,True,The solver successfully reached the end of the integration interval.
176,0.004328125,0.4328125,1829.7208566439836,0.0007122294417594857,0.0004900536456984483,True,The solver successfully reached the end of the integration interval.
177,0.00434375,0.434375,1839.3842568785587,0.0007001811492372293,0.0004810896542568794,True,The solver successfully reached the end of the integration interval.
178,0.004359375,0.4359375,1848.8273302213306,0.0006877851601494125,0.0004719104563027011,True,The solver successfully reached the end of the integration interval.
179,0.004375,0.4375000000000001,1858.0416185606878,0.0006749223323907282,0.0004624355465544383,True,The solver successfully reached the end of the integration interval.
180,0.004390625,0.4390625,1867.0176460220919,0.0006614540322837578,0.00045257151951051016,True,The solver successfully reached the end of the integration interval.
181,0.00440625,0.440625,1875.74398098994,0.000647228309069707,0.00044221638349778637,True,The solver successfully reached the end of the integration interval.
182,0.0044218750000000005,0.4421875,1884.2090840361905,0.0006320836827890091,0.0004312622073790118,True,The solver successfully reached the end of the integration interval.
183,0.0044375000000000005,0.44375,1892.4004057461484,0.0006158553677397277,0.0004195994054329858,True,The solver successfully reached the end of the integration interval.
184,0.0044531250000000005,0.4453125000000001,1900.3044404546947,0.0005983813825025625,0.00040712090715646693,True,The solver successfully reached the end of the integration interval.
185,0.0044687500000000005,0.446875,1907.9068159966644,0.0005795096508249205,0.0003937269639372444,True,The solver successfully reached the end of the integration interval.
186,0.0044843750000000005,0.4484375,1915.1924287886466,0.0005591053848959358,0.0003793301044418244,True,The solver successfully reached the end of the integration interval.
187,0.0044921875000000005,0.4492187500000001,1918.7106000333044,0.0005483132856499976,0.0003717463617645372,True,The solver successfully reached the end of the integration interval.
188,0.0045000000000000005,0.4500000000000001,1922.143726042992,0.0005370986049126948,0.0003638868171031346,True,The solver successfully reached the end of the integration interval.
189,0.0045078125000000005,0.45078125,1925.4897899629086,0.000525457556584365,0.0003557495035792126,True,The solver successfully reached the end of the integration interval.
190,0.0045156250000000005,0.4515625,1928.7467728626675,0.0005133884753190445,0.00034733389284279944,True,The solver successfully reached the end of the integration interval.
191,0.0045234375000000005,0.45234375,1931.9126629479529,0.0005008925901763706,0.00033864141359732695,True,The solver successfully reached the end of the integration interval.
192,0.0045312500000000006,0.4531250000000001,1934.9854659372888,0.0004879745490715735,0.0003296757993495257,True,The solver successfully reached the end of the integration interval.
193,0.0045390625000000006,0.4539062500000001,1937.9632164000159,0.00047464279337132534,0.00032044333340666833,True,The solver successfully reached the end of the integration interval.
194,0.004546875000000001,0.4546875,1940.8439899036994,0.00046090983163068436,0.0003109530247418892,True,The solver successfully reached the end of the integration interval.
195,0.004554687500000001,0.45546875,1943.6259158386115,0.00044679243546634956,0.00030121673060394674,True,The solver successfully reached the end of the integration interval.
196,0.004562500000000001,0.45625,1946.307190788261,0.000432311767304795,0.0002912492327123617,True,The solver successfully reached the end of the integration interval.
197,0.004570312500000001,0.4570312500000001,1948.8860923061316,0.0004174934431849879,0.0002810682694159291,True,The solver successfully reached the end of the integration interval.
198,0.004578125000000001,0.4578125000000001,1951.3609929447384,0.0004023675307562541,0.00027069452412901166,True,The solver successfully reached the end of the integration interval.
199,0.004585937500000001,0.4585937500000001,1953.7303743666928,0.0003869684813909185,0.00026015156953364764,True,The solver successfully reached the end of the integration interval.
200,0.004593750000000001,0.459375,1955.9928413505613,0.0003713349950035154,0.00024946576681540527,True,The solver successfully reached the end of the integration interval.
201,0.004601562500000001,0.46015625,1958.1471354884384,0.000355509816223917,0.0002386661192402859,True,The solver successfully reached the end of the integration interval.
202,0.004609375000000001,0.4609375000000001,1960.192148358257,0.00033953946074525995,0.00022778407949885626,True,The solver successfully reached the end of the integration interval.
203,0.004617187500000001,0.4617187500000001,1962.126933942984,0.00032347387084829735,0.0002168533103672824,True,The solver successfully reached the end of the integration interval.
204,0.004625000000000001,0.4625000000000001,1963.9507200616897,0.0003073659993006812,0.00020590939836895062,True,The solver successfully reached the end of the integration interval.
205,0.004632812500000001,0.46328125,1965.6629185748197,0.0002912713211456058,0.00019498952033375754,True,The solver successfully reached the end of the integration interval.
206,0.004640625000000001,0.4640625,1967.2631341283509,0.00027524727350468033,0.0001841320631615766,True,The solver successfully reached the end of the integration interval.
207,0.004648437500000001,0.4648437500000001,1968.751171209542,0.0002593526246440932,0.00017337619784709208,True,The solver successfully reached the end of the integration interval.
208,0.004656250000000001,0.4656250000000001,1970.1270393009313,0.0002436467754107392,0.00016276141005927715,True,The solver successfully reached the end of the integration interval.
209,0.004664062500000001,0.4664062500000001,1971.3909559395272,0.0002281889989015798,0.00015232699139741627,True,The solver successfully reached the end of the integration interval.
